ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
265	S2	S	S	S	S13	S13	1	1	1	1	1	1	1	1	1	1	1	0	1	1	6	0	1	5.166666667	0	4	11.666667	0	16	159	NA	155	3.1	46	6.136766667
266	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	6	5	3	6	2	2	6	0	0	163	166	182	7.41	41	13.8091
267	S2	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	8	0	0	1	0	NA	159	171	205	4.25	29	11.11963333
268	S2	S	S	S	S8	S8	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	5	0	0	3.666667	0	0	156	NA	NA	1.91	9	4.9704
269	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	4.666666667	0	0	10.333333	0	0	163	NA	NA	6.78	17	10.34
270	S2	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	4	5.666666667	0	5	10.333333	0	0	167	188	170	7.47	20	12.5632
271	S3	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	5.5	4	5	11	10	NA	163	161	188	6.62	15	11.66965
272	S3	F1 	Nx	N	F1C	F1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
273	S3	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	7	7	3.25	2.5	5	3	0.333333	0.333333333	159	161	157	4.61	47	9.833033333
274	S3	N	N	N	N2	N2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
275	S3	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	3	2	2	9	1.5	2	163	161	182	3.94	4	10.2752
276	S3	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	0	3	2	0	6	1	0	159	159	NA	3.77	11	5.021466667
278	S3	S	S	S	S4	S4	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	12	0	0	15	0	0	159	NA	NA	3.14	14	NA
